nome,endereco,area,quartos,banheiros,garagem,preco
"  Apartamento com 2 Quartos à Venda, 71m²  ","Rua da Charita, 198 - Jardim Atlântico, Goiânia - GO", 71 , 3 ,  2     ,  1     ,       310000      
"  Apartamento com 3 Quartos à Venda, 86m²  ","Rua T 48, 683 - Setor Bueno, Goiânia - GO", 86 , 4 ,  3     ,  2     ,       440000      
"  Apartamento com 3 Quartos à Venda, 111m²  ","Avenida Primeira Radial, 17 - Setor Pedro Ludovico, Goiânia - GO", 111 , 2 ,  4     ,  2     ,       850000      
"  Apartamento com 3 Quartos à Venda, 89m²  ","Rua 137-A, 204 - Setor Marista, Goiânia - GO", 89 , 1 ,  4     ,  2     ,       765000      
"  Apartamento com 3 Quartos à Venda, 108m²  ","Rua C 158, 3223 - Jardim América, Goiânia - GO", 108 , 1 ,  3     ,  1     ,       425000      
"  Apartamento com 3 Quartos à Venda, 98m²  ","Avenida Copacabana, 135 - Jardim Atlântico, Goiânia - GO", 98 , 1 ,  1     ,  2     ,       650000      
  Residencial Lago Areião - 140M²  ,"Avenida Areião, 627 - Setor Pedro Ludovico, Goiânia - GO", 140 , 3 ,  4     ,  1-4     ,       1115000      
"  Apartamento com 3 Quartos à Venda, 83m²  ","Avenida E, 453 - Jardim Goiás, Goiânia - GO", 83 , 4 ,  2     ,  1     ,       510000      
"  Apartamento com 3 Quartos à Venda, 80m²  ","Rua 226, 995 - Setor Leste Universitário, Goiânia - GO", 80 , 2 ,  3     ,  2     ,       600000      
"  Apartamento com 3 Quartos à Venda, 150m²  ","Rua T 37, 3832 - Setor Bueno, Goiânia - GO", 150 , 3 ,  4     ,  2     ,       750000      
"  Apartamento com 3 Quartos à Venda, 88m²  ","Rua Santarém, 14 - Parque Amazônia, Goiânia - GO", 88 , 5 ,  4     ,  1     ,       340000      
"  Apartamento com 3 Quartos à Venda, 100m²  ","Rua Samuel Morse, 23 - Serrinha, Goiânia - GO", 100 , 2 ,  4     ,  1     ,       833896      
"  Apartamento com 3 Quartos à Venda, 75m²  ","Rua Timburé, 22 - Aeroporto Internacional Santa Genoveva, Goiânia - GO", 75 , 2 ,  2     ,  2     ,       382000      
"  Apartamento com 3 Quartos à Venda, 94m²  ","Avenida T 14, 1529 - Setor Bueno, Goiânia - GO", 94 , 5 ,  3     ,  2     ,       600000      
"  Apartamento com 3 Quartos à Venda, 72m²  ","Rua T 28, 12 - Setor Bueno, Goiânia - GO", 72 , 2 ,  2     ,  1     ,       527000      
"  Apartamento com 2 Quartos à Venda, 62m²  ","Rua 1034, 186 - Setor Pedro Ludovico, Goiânia - GO", 62 , 3-4 ,  2     ,  1     ,       437124      
"  Apartamento com 3 Quartos à Venda, 120m²  ","Rua T 28, 1 - Setor Bueno, Goiânia - GO", 120 , 4 ,  4     ,  2     ,       1100000      
"  Apartamento com 2 Quartos à Venda, 58m²  ","Alameda Juazeiro do Norte, 1 - Parque Amazônia, Goiânia - GO", 58 , 2-3 ,  2     ,  1     ,       249999      
"  Apartamento com 3 Quartos à Venda, 78m²  ","Avenida São João, 1 - Alto da Glória, Goiânia - GO", 78 , 2 ,  2     ,  2     ,       450000      
"  Apartamento com 2 Quartos à Venda, 71m²  ","Rua 1128, 182 - Setor Marista, Goiânia - GO", 71 , 1 ,  1     ,  1     ,       674449      
"  Apartamento com 3 Quartos à Venda, 90m²  ","Alameda Juazeiro do Norte, 1 - Parque Amazônia, Goiânia - GO", 90 , 1 ,  4     ,  2     ,       550000      
"  Apartamento com 3 Quartos à Venda, 90m²  ","Alameda Juazeiro do Norte, 1 - Parque Amazônia, Goiânia - GO", 90 , 2 ,  4     ,  2     ,       690000      
"  Apartamento com 2 Quartos à Venda, 54m²  ","Rua Manaus, 1230 - Parque Amazônia, Goiânia - GO", 54 , 2 ,  2     ,  1     ,       285000      
"  Apartamento com 3 Quartos à Venda, 106m²  ","Rua T 38, 430 - Setor Bueno, Goiânia - GO", 106 , 1 ,  4     ,  2     ,       1059415      
"  Apartamento com 2 Quartos à Venda, 57m²  ","Rua Aracaju, 1 - Parque Amazônia, Goiânia - GO", 57 , 3 ,  1     ,  1     ,       239000      
"  Apartamento com 2 Quartos à Venda, 60m²  ","Avenida Alexandre de Morais, 1 - Parque Amazônia, Goiânia - GO", 60 , 3 ,  2     ,  1     ,       280000      
"  Apartamento com 2 Quartos à Venda, 54m²  ","Avenida Milão, 354 - Residencial Eldorado, Goiânia - GO", 54 , 2 ,  2     ,  5     ,       288000      
